date,text,category,opinion
2018-09-30,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2018-08-31,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2018-07-31,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2018-06-30,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2018-05-31,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2018-04-30,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2018-03-31,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2018-02-28,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2018-01-31,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2017-12-31,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2017-11-30,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2017-10-31,"Предлагаю добавить возможность управления лимитами карт.",Предложение,Нейтральный
2017-09-30,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2017-08-31,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2017-07-31,"Хотелось бы видеть больше функций в интернет-банке.",Предложение,Нейтральный
2017-06-30,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2017-05-31,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2017-04-30,"Предлагаю добавить возможность создания нескольких профилей в одном аккаунте.",Предложение,Нейтральный
2017-03-31,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2017-02-28,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2017-01-31,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2016-12-31,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2016-11-30,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2016-10-31,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2016-09-30,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2016-08-31,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2016-07-31,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2016-06-30,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2016-05-31,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2016-04-30,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2016-03-31,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2016-02-29,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2016-01-31,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2024-12-31,"Отличный банк! Всегда оперативно решают мои вопросы.",Благодарность,Позитивный
2024-11-30,"Почему такие высокие комиссии за международные переводы?",Претензия,Негативный
2024-10-31,"Предлагаю добавить возможность создания виртуальных карт для безопасных покупок.",Предложение,Нейтральный
2024-09-30,"Великолепный клиентский сервис! Всегда получают ответы на все вопросы.",Благодарность,Позитивный
2024-08-31,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2024-07-31,"Хотелось бы видеть больше возможностей для инвестиций.",Предложение,Нейтральный
2024-06-30,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2024-05-31,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2024-04-30,"Предлагаю добавить функцию автоматического пополнения карты.",Предложение,Нейтральный
2024-03-31,"Отличный банк! Никогда не возникало никаких проблем.",Благодарность,Позитивный
2024-02-28,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2024-01-31,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2023-12-31,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-11-30,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-10-31,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2023-09-30,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-08-31,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2023-07-31,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2023-06-30,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-05-31,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2023-04-30,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2023-03-31,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-02-28,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2023-01-31,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2023-12-31,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-11-30,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-10-31,"Предлагаю добавить возможность управления лимитами карт.",Предложение,Нейтральный
2023-09-30,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-08-31,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2023-07-31,"Хотелось бы видеть больше функций в интернет-банке.",Предложение,Нейтральный
2023-06-30,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-05-31,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2023-04-30,"Предлагаю добавить возможность создания нескольких профилей в одном аккаунте.",Предложение,Нейтральный
2023-03-31,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-02-28,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2023-01-31,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2023-12-31,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-11-30,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-10-31,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2023-09-30,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-08-31,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2023-07-31,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2023-06-30,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-05-31,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2023-04-30,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2023-03-31,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-02-28,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2023-01-31,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2023-02-28,"Отличный банк! Всегда оперативно решают мои вопросы.",Благодарность,Позитивный
2023-02-27,"Почему такие высокие комиссии за международные переводы?",Претензия,Негативный
2023-02-26,"Предлагаю добавить возможность создания виртуальных карт для безопасных покупок.",Предложение,Нейтральный
2023-02-25,"Великолепный клиентский сервис! Всегда получают ответы на все вопросы.",Благодарность,Позитивный
2023-02-24,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2023-02-23,"Хотелось бы видеть больше возможностей для инвестиций.",Предложение,Нейтральный
2023-02-22,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-02-21,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2023-02-20,"Предлагаю добавить функцию автоматического пополнения карты.",Предложение,Нейтральный
2023-02-19,"Отличный банк! Никогда не возникало никаких проблем.",Благодарность,Позитивный
2023-02-18,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2023-02-17,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2023-02-16,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-02-15,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-02-14,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2023-02-13,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-02-12,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2023-02-11,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2023-02-10,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-02-09,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2023-02-08,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2023-02-07,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-02-06,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2023-02-05,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2023-02-04,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-02-03,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-02-02,"Предлагаю добавить возможность управления лимитами карт.",Предложение,Нейтральный
2023-02-01,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-01-31,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2023-01-30,"Хотелось бы видеть больше функций в интернет-банке.",Предложение,Нейтральный
2023-01-29,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-01-28,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2023-01-27,"Предлагаю добавить возможность создания нескольких профилей в одном аккаунте.",Предложение,Нейтральный
2023-01-26,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-01-25,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2023-01-24,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2023-01-23,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-01-22,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-01-21,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2023-01-20,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-01-19,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2023-01-18,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2023-01-17,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-01-16,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2023-01-15,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2023-01-14,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-01-13,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2023-01-12,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2023-01-11,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-01-10,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-01-09,"Предлагаю добавить возможность управления лимитами карт.",Предложение,Нейтральный
2023-01-08,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-01-07,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2023-01-06,"Хотелось бы видеть больше функций в интернет-банке.",Предложение,Нейтральный
2023-01-05,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-01-04,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2023-01-03,"Предлагаю добавить возможность создания нескольких профилей в одном аккаунте.",Предложение,Нейтральный
2023-01-02,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-01-01,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2023-01-31,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2023-01-30,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-01-29,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-01-28,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2023-01-27,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-01-26,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2023-01-25,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
2023-01-24,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-01-23,"Почему так долго обрабатываются заявки на кредиты?",Претензия,Негативный
2023-01-22,"Предлагаю добавить возможность отслеживания истории операций.",Предложение,Нейтральный
2023-01-21,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-01-20,"Не могу пополнить баланс карты. Система не работает.",Претензия,Негативный
2023-01-19,"Хотелось бы видеть больше отделений банка в моем районе.",Предложение,Нейтральный
2023-01-18,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-01-17,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-01-16,"Предлагаю добавить возможность управления лимитами карт.",Предложение,Нейтральный
2023-01-15,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-01-14,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2023-01-13,"Хотелось бы видеть больше функций в интернет-банке.",Предложение,Нейтральный
2023-01-12,"Великолепный банк! Отличные условия и отличное обслуживание.",Благодарность,Позитивный
2023-01-11,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2023-01-10,"Предлагаю добавить возможность создания нескольких профилей в одном аккаунте.",Предложение,Нейтральный
2023-01-09,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2023-01-08,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2023-01-07,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2023-01-06,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2023-01-05,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2023-01-04,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
2023-01-03,"Отличный банк! Всегда на связи и готовы помочь.",Благодарность,Позитивный
2023-01-02,"Не могу открыть новый счет. Система выдает ошибку.",Претензия,Негативный
2023-01-01,"Хотелось бы видеть больше функций в мобильном приложении.",Предложение,Нейтральный
